Company,N_Stacks,N_Followers,N_Votes,N_Companies,N_Developers,N_Integrations,Negative,Neutral,Positive,Compound,Z_N_Stacks,Z_N_Followers,Z_N_Votes,Z_N_Companies,Z_N_Developers,Z_N_Integrations,Z_Negative,Z_Neutral,Z_Positive,Z_Compound,SOCIAL_SCORE,BUSINESS_ADOPTION,SENTIMENT_SCORE,INVESTMENT_SCORE
Stripe,18600.0,1200.0,1500.0,4427.0,13695.0,189.0,0.0209,0.8366,0.14245000000000002,0.7081500000000001,1.8650215552547227,-0.1233071402935651,2.588238145633292,2.5361755246016706,1.6446237939190183,2.4121244407256617,-0.2574394181574297,-0.9523211513044427,1.097417653399186,0.48001812255103044,1.2143333951111215,2.197641253082117,0.48001812255103044,1.547307764497687
PayPal,19100.0,14400.0,664.0,2167.0,16773.0,88.0,0.01927272727272727,0.868181818181818,0.11236363636363639,0.6054545454545454,1.928647241150614,2.8387570123453054,0.87449896477678,0.9927253184405935,2.1253097657246927,0.733241503038352,-0.4449537858082128,0.06771621089746668,0.04940041954415659,-0.1355570469680877,2.0818614943537237,1.2837588624012126,-0.1355570469680877,0.826903425719583
Recurly,121.0,139.0,62.0,56.0,62.0,27.0,0.021,0.849,0.13,0.9924,-0.48645654408562616,-0.36139426650188644,-0.359557239619895,-0.44896644492490795,-0.4844183937439966,-0.28073730091140925,-0.24591618886045388,-0.5518228893460643,0.6637389702855843,2.18386414680093,-0.4110517721589841,-0.4047073798601046,2.18386414680093,0.5009754348563134
Braintree,561.0,450.0,90.0,282.0,270.0,31.0,0.0105,0.9015,0.088,0.62705,-0.43046594049724185,-0.2916062398753191,-0.3021592766247008,-0.29462142430880023,-0.4519353911008581,-0.21424688753765442,-1.4558552650428813,1.143835074590623,-0.799273454675962,-0.006109977947358341,-0.3492607274739646,-0.32026790098243757,-0.006109977947358341,-0.21176226924473618
Laravel-Spark,81.0,144.0,0.0,10.0,71.0,,,,,,-0.49154659895729746,-0.36027227250467475,-0.48665272910925356,-0.4803818031034077,-0.4830128792065531,0.0,0.0,0.0,0.0,0.0,-0.4380580944066397,-0.32113156076998695,0.0,-0.21458184118232415
Stripe-Billing,152.0,168.0,0.0,42.0,109.0,8.0,,,,,-0.4825117515600809,-0.3548867013180586,-0.48665272910925356,-0.45852764089227743,-0.4770784844929028,-0.5965667644367447,0.0,0.0,0.0,0.0,-0.43228992697310653,-0.5107242966073083,0.0,-0.3280490743130403
Blockchain-com,370.0,357.0,0.0,32.0,334.0,9.0,0.026,0.901,0.074,0.5733,-0.4547709525094723,-0.3124753282234566,-0.48665272910925356,-0.46535706658325565,-0.4419406210568155,-0.5799441610933059,0.3302452759883207,1.127685951124561,-1.2869442629964771,-0.3282972208793973,-0.4042290581150223,-0.49574728291112563,-0.3282972208793973,-0.4325638499602155
Coinbase,150.0,207.0,9.0,10.0,140.0,5.0,0.026,0.901,0.074,0.5733,-0.48276625430366443,-0.3461351481398074,-0.4682033838607983,-0.4803818031034077,-0.47223726775281966,-0.6464345744670608,0.3302452759883207,1.127685951124561,-1.2869442629964771,-0.3282972208793973,-0.4252012377495484,-0.5330178817744294,-0.3282972208793973,-0.4559748182599241
Adyen,152.0,268.0,49.0,53.0,97.0,8.0,0.020399999999999998,0.8374,0.142,0.4915,-0.4825117515600809,-0.33244682137382475,-0.38620629386766375,-0.4510152726322014,-0.4789525038761608,-0.5965667644367447,-0.3150555646423073,-0.92648255375874,1.0817425202745967,-0.8186212482624823,-0.40322468794709504,-0.5088448469817023,-0.8186212482624823,-0.6119855794782448
Chargebee,151.0,162.0,0.0,55.0,88.0,30.0,0.040999999999999995,0.834,0.12475,0.4534,-0.4826390029318727,-0.35623309411471266,-0.48665272910925356,-0.4496493874940058,-0.4803580184136043,-0.23086949088109313,2.0587296705346447,-1.0362965933279753,0.48086241716539085,-1.046999554415239,-0.4328793846404849,-0.38695896559623444,-1.046999554415239,-0.6202691926350985
