Company,N_Stacks,N_Followers,N_Votes,N_Companies,N_Developers,N_Integrations,Negative,Neutral,Positive,Compound,Z_N_Stacks,Z_N_Followers,Z_N_Votes,Z_N_Companies,Z_N_Developers,Z_N_Integrations,Z_Negative,Z_Neutral,Z_Positive,Z_Compound,SOCIAL_SCORE,BUSINESS_ADOPTION,SENTIMENT_SCORE,SCORE
Stripe,12400.0,7200.0,1500.0,3874.0,8314.0,152.0,0.03371428571428571,0.8539285714285715,0.11199999999999999,0.4564428571428571,6.854025244941865,6.201835601581454,9.09422119307016,5.202517865459889,3.9994677019378706,6.388169295421444,0.08247628301633128,0.05385221471601546,-0.12949631580612614,-0.21501737940219248,7.041188577223361,5.1967182876064015,-0.21501737940219248,3.394834318634241
PayPal,12900.0,8900.0,654.0,1928.0,10870.0,75.0,0.015666666666666666,0.8737777777777778,0.11033333333333334,0.6088333333333333,7.136596238977879,7.705063637409077,3.8815399111186677,2.4610881968476646,5.2970687940277195,2.847546737364931,-0.6338197193965248,0.448990991506534,-0.17282191797508278,0.27808706947205103,6.712971932778516,3.535234576080105,0.27808706947205103,2.5541198166022063
Recurly,112.0,107.0,62.0,56.0,55.0,27.0,0.021,0.849,0.13,0.9924,-0.09043950448720972,-0.07016231496285712,0.23389532611242217,-0.17609388929934636,-0.19336775172803639,0.6404054024725593,-0.4221438558866569,-0.04426101214800557,0.3384201876186107,1.5192304433977877,-0.0174616625575423,0.09031458714839218,1.5192304433977877,0.5850463243503838
Chargify,35.0,65.0,0.0,15.0,19.0,22.0,0.021,0.849,0.13,0.9924,-0.13395543756875586,-0.1073008899656572,-0.1481215054253941,-0.23385268498953196,-0.21164382344761173,0.41049484675460396,-0.4221438558866569,-0.04426101214800557,0.3384201876186107,1.5192304433977877,-0.12612683209884404,-0.011667220560846589,1.5192304433977877,0.5184239812477756
Braintree,520.0,389.0,90.0,281.0,228.0,27.0,0.0105,0.9015,0.088,0.62705,0.14013842664617754,0.17919668862737206,0.4064190564843392,0.1408751114394771,-0.10554107374229939,0.6404054024725593,-0.8388807121717091,1.0008581435774195,-0.7533849870391078,0.3370324812953251,0.2090178574062877,0.225246480056579,0.3370324812953251,0.26356014935762556
Lemon-Way,,,,,,,0.017763157894736845,0.8387105263157896,0.14357894736842103,0.7161842105263156,0.0,0.0,0.0,0.0,0.0,0.0,-0.5506116085760339,-0.24909388928516668,0.6914098305530602,0.6254525771973978,0.0,0.0,0.6254525771973978,0.2189084020190892
Eventbrite,,,,,,,0.017763157894736845,0.8387105263157896,0.14357894736842103,0.7161842105263156,0.0,0.0,0.0,0.0,0.0,0.0,-0.5506116085760339,-0.24909388928516668,0.6914098305530602,0.6254525771973978,0.0,0.0,0.6254525771973978,0.2189084020190892
Payoneer,12.0,29.0,10.0,3.0,9.0,9.0,0.048,0.767,0.185,0.7399,-0.14695370329441249,-0.13913395425377156,-0.08650588743542373,-0.2507576983622692,-0.21672051003638265,-0.18727259811208,0.6494652031320488,-1.676637598233431,1.768165059194194,0.702192027000164,-0.13173624050635838,-0.2182502688369106,0.702192027000164,0.10823023612259314
Chargebee,105.0,121.0,0.0,40.0,58.0,31.0,0.041,0.8340000000000001,0.12475,0.45339999999999997,-0.09439549840371392,-0.05778278996192376,-0.1481215054253941,-0.19863390712966267,-0.19184474575140512,0.8243338470469237,0.3716406322753473,-0.34286648521241087,0.20194454078639576,-0.2248634434866447,-0.0904956164313339,0.1446183980552853,-0.2248634434866447,0.00354405279127884
Sush.io,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BankFeeds.io,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Upscribe.io,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rev.io,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stunning,3.0,10.0,0.0,,,,,,,,-0.15203998118706072,-0.1559347381836097,-0.1481215054253941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.152814188833347,0.0,0.0,-0.00764070944166735
Coinalytics,6.0,8.0,0.0,,,,,,,,-0.15034455522284465,-0.1577032417551716,-0.1481215054253941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15284341987628533,0.0,0.0,-0.007642170993814267
AccountDock,5.0,6.0,0.0,,,,,,,,-0.15090969721091668,-0.15947174532673353,-0.1481215054253941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1537768781001389,0.0,0.0,-0.007688843905006945
Debitoor,4.0,6.0,0.0,,,,,,,,-0.15147483919898871,-0.15947174532673353,-0.1481215054253941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15400293489536773,0.0,0.0,-0.007700146744768387
Invoice-Ninja,4.0,4.0,0.0,,,,,,,,-0.15147483919898871,-0.16124024889829544,-0.1481215054253941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15471033632399248,0.0,0.0,-0.007735516816199624
QuoteMachine,2.0,5.0,0.0,,,,,,,,-0.15260512317513275,-0.16035599711251447,-0.1481215054253941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15480874920013774,0.0,0.0,-0.007740437460006887
Wave-SaaS-Kit,0.0,6.0,0.0,,,,,,,,-0.15373540715127681,-0.15947174532673353,-0.1481215054253941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15490716207628297,0.0,0.0,-0.007745358103814149
Fusebill,3.0,4.0,0.0,,,,,,,,-0.15203998118706072,-0.16124024889829544,-0.1481215054253941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15493639311922128,0.0,0.0,-0.007746819655961064
Revealytics,1.0,5.0,0.0,,,,,,,,-0.15317026516320478,-0.16035599711251447,-0.1481215054253941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15503480599536654,0.0,0.0,-0.007751740299768327
HookFeed,2.0,4.0,0.0,,,,,,,,-0.15260512317513275,-0.16124024889829544,-0.1481215054253941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1551624499144501,0.0,0.0,-0.007758122495722506
